model,harness,model_harness,eval_name,round,trial_index,model_name_result,harness_result,passed,score,duration_s,timed_out,oom_detected,oom_restarts,n_turns,total_cost,total_tokens,result_path,source_result_json_path,source_prefix,eval_type,kit,assay_type,metadata_kit,task_family,time_horizon,grader_type,data_node_count,task_chars,has_failure_modes,failure_mode_count,instance_id
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_001a_reference_genome_selection,r1,1,anthropic/claude-opus-4-6,claude-code,False,0.6666666666666666,104.02,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_001a_reference_genome_selection__r1.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_001a_reference_genome_selection_r1/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,8,3360,False,0,zebrafish_001a_reference_genome_selection__r1
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_001a_reference_genome_selection,r2,2,anthropic/claude-opus-4-6,claude-code,False,0.6666666666666666,100.02,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_001a_reference_genome_selection__r2.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_001a_reference_genome_selection_r2/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,8,3360,False,0,zebrafish_001a_reference_genome_selection__r2
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_001a_reference_genome_selection,r3,3,anthropic/claude-opus-4-6,claude-code,False,0.6666666666666666,93.01,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_001a_reference_genome_selection__r3.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_001a_reference_genome_selection_r3/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,8,3360,False,0,zebrafish_001a_reference_genome_selection__r3
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_001b_gtf_gene_count_implications,r1,1,anthropic/claude-opus-4-6,claude-code,False,0.75,146.02,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_001b_gtf_gene_count_implications__r1.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_001b_gtf_gene_count_implications_r1/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,8,3859,False,0,zebrafish_001b_gtf_gene_count_implications__r1
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_001b_gtf_gene_count_implications,r2,2,anthropic/claude-opus-4-6,claude-code,False,0.75,113.02,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_001b_gtf_gene_count_implications__r2.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_001b_gtf_gene_count_implications_r2/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,8,3859,False,0,zebrafish_001b_gtf_gene_count_implications__r2
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_001b_gtf_gene_count_implications,r3,3,anthropic/claude-opus-4-6,claude-code,False,0.75,112.02,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_001b_gtf_gene_count_implications__r3.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_001b_gtf_gene_count_implications_r3/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,8,3859,False,0,zebrafish_001b_gtf_gene_count_implications__r3
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002b_duplicate_rate_interpretation,r1,1,anthropic/claude-opus-4-6,claude-code,True,1.0,441.06,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002b_duplicate_rate_interpretation__r1.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002b_duplicate_rate_interpretation_r1/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,2,4179,False,0,zebrafish_002b_duplicate_rate_interpretation__r1
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002b_duplicate_rate_interpretation,r2,2,anthropic/claude-opus-4-6,claude-code,True,1.0,407.1,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002b_duplicate_rate_interpretation__r2.json,latch://41999.account/epibench_runs/20260605_142959_non_model_failure_rerun/anthropic_claude-opus-4-6_claude-code_non_model_failure_rerun_2026_06_05_21_30_1bcc/anthropic_claude-opus-4-6_claude-code_zebrafish_002b_duplicate_rate_interpretation_r2/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,2,4179,False,0,zebrafish_002b_duplicate_rate_interpretation__r2
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002b_duplicate_rate_interpretation,r3,3,anthropic/claude-opus-4-6,claude-code,True,1.0,453.23,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002b_duplicate_rate_interpretation__r3.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002b_duplicate_rate_interpretation_r3/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,qc,small,numeric_tolerance,2,4179,False,0,zebrafish_002b_duplicate_rate_interpretation__r3
anthropic/claude-opus-4-6,claude-code,anthropic_claude-opus-4-6_claude-code,zebrafish_002c_spike_in_organism_biochemistry,r1,1,anthropic/claude-opus-4-6,claude-code,False,0.6,390.12,False,False,0,,,,.scratch/epi_outputs_updated/results/anthropic_claude-opus-4-6_claude-code/zebrafish_002c_spike_in_organism_biochemistry__r1.json,latch://41999.account/epibench_runs/20260604_153920/anthropic_claude-opus-4-6_claude-code_2026_06_04_22_40_6de6/anthropic_claude-opus-4-6_claude-code_zebrafish_002c_spike_in_organism_biochemistry_r1/result.json,zebrafish,scientific,cuttag_cutrun,cuttag_cutrun,hts,normalization,small,numeric_tolerance,22,5126,False,0,zebrafish_002c_spike_in_organism_biochemistry__r1
